Corpus,File,Name,Verb,Age,Sent,Syntatic Object,Event or Object,Syntatic Object,Event or Object,Convergence,Comments,Comments,,,,,,,,,,,,,
Brown,adam12.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M16D'],d do do milk over you,milk,object,milk,object,object,,,,,,,,,,,,,,,
Brown,adam12.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M16D'],Cromer do dat that,that,pronoun,that,pronoun,pronoun,,,,,,,,,,,,,,,
Brown,adam12.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M16D'],what you doing Mommy,,,,,0,?,,,,,,,,,,,,,,
Brown,adam12.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M16D'],do do want cup coffee,,,,,0,?,,,,,,,,,,,,,,
Brown,adam12.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M16D'],d you do want some,,,,,0,?,,,,,,,,,,,,,,
Brown,adam12.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M16D'],do do wan  sugar,,,,,0,?,,,,,,,,,,,,,,
Brown,adam12.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M16D'],do do want stirs,,,,,0,?,,,,,,,,,,,,,,
Brown,adam12.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M16D'],do do do be stirs,,,,,0,?,,,,,,,,,,,,,,
Brown,adam12.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M16D'],do do want more coffee,,,,,0,?,,,,,,,,,,,,,,
Brown,adam12.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M16D'],le me do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam12.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M16D'],you do it up de the up,,,,,0,,,,,,,,,,,,,,,
Brown,adam12.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M16D'],I do right here,,,,,0,,,,,,,,,,,,,,,
Brown,adam12.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M16D'],let me do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam13.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y9M4D'],trailer doesn't fit in,,,,,0,?,,,,,,,,,,,,,,
Brown,adam13.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y9M4D'],it fit does it,,,,,0,,,,,,,,,,,,,,,
Brown,adam13.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y9M4D'],you did Urs,,,,,0,?,,,,,,,,,,,,,,
Brown,adam13.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y9M4D'],you do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam13.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y9M4D'],you do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam13.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y9M4D'],you do it,,,,,0,,,,,,,,,,,,,,,
