Corpus,File,Name,Verb,Age,Sent,Syntatic Object,Event or Object,Syntatic Object,Event or Object,Covergence,Comments,Comments,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],what he had thing,thing,object,thing,object,object,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],le me have another one,another,pronoun,one,pronoun,pronoun,,?,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],you not have one,one,pronoun,one,pronoun,pronoun,,?,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],you have one,one,pronoun,one,pronoun,pronoun,,?,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],le me have dat that one,one,pronoun,one,pronoun,pronoun,,?,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],I have  one,one,pronoun,one,pronoun,pronoun,,?,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],yeah le me have one,one,pronoun,one,pronoun,pronoun,,?,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],le me have one,one,pronoun,one,pronoun,pronoun,,?,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],please le me have dat that one,that,pronoun,one,pronoun,pronoun,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],le me have dat that,that,pronoun,that,pronoun,pronoun,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],le me have dose those,those,pronoun,those,pronoun,pronoun,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],le me have one dose those,those,pronoun,one,pronoun,pronoun,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],d you wan me have one dose those,those,pronoun,one,pronoun,pronoun,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],I have take take yours,,,,,0,?,?,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],le me have two,,,,,0,,?,
Brown,adam20.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M11D'],I goin have some water,water,event,water,object,!!!,,?,
Brown,adam20.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M11D'],don't have accident,accident,event,accident,event,event,?,,
Brown,adam20.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M11D'],I didn't have some shaving,shaving,event,shaving,event,event,?,?,
Brown,adam20.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M11D'],it's have band,band,object,band,object,object,,,
Brown,adam20.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M11D'],d you wan me have rifle gun,rifle gun,object,gun,object,object,,,
Brown,adam20.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M11D'],I have tape,tape,object,tape,object,object,,,
Brown,adam20.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M11D'],she have  one,one,pronoun,one,pronoun,pronoun,,?,
Brown,adam20.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M11D'],you have another one,one,pronoun,one,pronoun,pronoun,,?,
Brown,adam20.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M11D'],I have a big one,one,pronoun,one,pronoun,pronoun,,?,
Brown,adam20.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M11D'],like I have some in,some,pronoun,some,pronoun,pronoun,,,
Brown,adam20.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M11D'],you want have it,,,,,0,,?,
Brown,adam21.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M25D'],I have enough  taking pictures,picture,event,pictures,object,!!!,,,
Brown,adam21.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M25D'],I have enough taking one picture,picture,event,picture,object,!!!,,?,
Brown,adam21.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M25D'],we going to have some ginger ale,ginger ale,object,ginger ale,object,object,,,
Brown,adam21.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M25D'],I have ginger ale,ginger ale,object,ginger ale,object,object,,,
Brown,adam21.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M25D'],I don't have dat that stuff to me,stuff,object,stuff,object,object,,,
Brown,adam21.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M25D'],I have one,one,pronoun,one,pronoun,pronoun,,?,
Brown,adam21.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M25D'],d you wan me have that one,one,pronoun,one,pronoun,pronoun,,?,
Brown,adam21.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M25D'],I have enough,,,,,0,?,?,
Brown,adam21.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M25D'],I have enough,,,,,0,?,?,
Brown,adam21.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M25D'],it's goin have it's gon I goin,,,,,0,?,,
Brown,adam21.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M25D'],I have enough,,,,,0,?,?,
Brown,adam21.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M25D'],I have put it on  floor,,,,,0,,,
Brown,adam21.xml,['Adam'],have|haves|having|had|haven't,['P3Y0M25D'],I have enough,,,,,0,?,,
Brown,adam22.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M9D'],you can't have a banjo,banjo,object,banjo,object,object,,,
Brown,adam22.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M9D'],no I don't have got a headache hunm,headache,object,headache,object,object,,?,
Brown,adam22.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M9D'],sometime I have a tiny house,house,object,house,object,object,,,
Brown,adam22.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M9D'],it's don't have some paint on it,paint,object,paint,object,object,,?,
Brown,adam22.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M9D'],it's don't have some paint on it,paint,object,paint,object,object,,?,
Brown,adam22.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M9D'],Mommy have a peanut,peanut,object,peanut,object,object,,,
Brown,adam22.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M9D'],I have dat that roll,roll,object,roll,object,object,,,
Brown,adam22.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M9D'],I have a stove,stove,object,stove,object,object,,,
Brown,adam22.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M9D'],why we don't have some tape,tape,object,tape,object,object,,,
Brown,adam22.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M9D'],le me have dis this top,top,object,top,object,object,,,
Brown,adam22.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M9D'],le me have one,one,pronoun,one,pronoun,pronoun,,,
Brown,adam22.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M9D'],we goin have some,some,pronoun,some,pronoun,pronoun,,,
Brown,adam22.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M9D'],she have one of dose those,those,pronoun,one,pronoun,pronoun,,,
Brown,adam22.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M9D'],we going have,,,,,0,?,,
Brown,adam23.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M26D'],she going going to have some lunch,lunch,event,lunch,object,!!!,,,
Brown,adam23.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M26D'],we having supper,supper,event,supper,event,event,?,,
Brown,adam23.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M26D'],I have a Harvard_Square bus,bus,object,bus,object,object,,,
Brown,adam23.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M26D'],I don't have Harvard_Square bus,bus,object,bus,object,object,,,
Brown,adam23.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M26D'],Mommy we going have some ice,ice,object,ice,object,object,,,
Brown,adam23.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M26D'],yep we have some macaroni,macaroni,object,macaroni,object,object,,,
Brown,adam23.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M26D'],let me have some magic macaroni Mommy,macaroni,object,macaroni,object,object,?,,
Brown,adam23.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M26D'],I have some mailman,mailman,object,mailman,object,object,,some = mailman,
Brown,adam23.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M26D'],Daddy have a watch,watch,object,watch,object,object,,,
Brown,adam23.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M26D'],Daddy have a watch,watch,object,watch,object,object,,,
Brown,adam23.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M26D'],we have another one,one,pronoun,one,pronoun,pronoun,,,
Brown,adam23.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M26D'],I have to take some off,some,pronoun,some,pronoun,pronoun,,,
Brown,adam23.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M26D'],I don't have some too much,some,pronoun,some,pronoun,pronoun,,,
Brown,adam23.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M26D'],you have some more,some,pronoun,some,pronoun,pronoun,,,
Brown,adam23.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M26D'],I have some I've got enough,some,pronoun,some,pronoun,pronoun,,,
Brown,adam23.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M26D'],don't have dose those,those,pronoun,those,pronoun,pronoun,,,
Brown,adam23.xml,['Adam'],have|haves|having|had|haven't,['P3Y1M26D'],I don't have a,,,,,0,?,,
Brown,adam24.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M9D'],we having coffee,coffee,event,coffee,event,event,?,,
Brown,adam24.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M9D'],I have a baby,baby,object,baby,object,object,,,
Brown,adam24.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M9D'],I have some cheek,cheek,object,cheek,object,object,,,
Brown,adam24.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M9D'],I goin have some too crackers,crackers,object,crackers,object,object,,some = crackers,
Brown,adam24.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M9D'],no I don't have a doll,doll,object,doll,object,object,,,
Brown,adam24.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M9D'],let's have something to read,something,pronoun,something,pronoun,pronoun,,something = book,
Brown,adam24.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M9D'],we have some tomorrow,something,pronoun,some,pronoun,pronoun,,,
Brown,adam25.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M21D'],why me having piece of cake,cake,event,cake,object,!!!,,?,
Brown,adam25.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M21D'],I gon Celia goin have some espresso,espresso,event,espresso,event,event,,?,
Brown,adam25.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M21D'],I want to have some espresso,espresso,event,espresso,event,event,,,
Brown,adam25.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M21D'],I have a racing car Rambler,car,object,car,object,object,,,
Brown,adam25.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M21D'],you goin have some cranberry,cranberry,object,cranberry,object,object,,,
Brown,adam25.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M21D'],dat that don't have drawing on it,drawing,object,drawing,object,object,,?,
Brown,adam25.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M21D'],table tape recorder want have glasses on,glasses,object,glasses,object,object,,?,
Brown,adam25.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M21D'],she going to have some seeds,seed,object,seeds,object,object,,,
Brown,adam25.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M21D'],why he going to have some seeds,seed,object,seeds,object,object,,,
Brown,adam25.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M21D'],can I have some sugar,sugar,object,sugar,object,object,,,
Brown,adam25.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M21D'],I have one,one,pronoun,one,pronoun,pronoun,,,
Brown,adam25.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M21D'],you want Mommy to have one,one,pronoun,one,pronoun,pronoun,,?,
Brown,adam25.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M21D'],can I have another one,one,pronoun,one,pronoun,pronoun,,,
Brown,adam25.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M21D'],you can't have Urs,Urs,pronoun,Urs,pronoun,pronoun,,,
Brown,adam25.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M21D'],can I have it,,,,,0,,,
Brown,adam25.xml,['Adam'],have|haves|having|had|haven't,['P3Y2M21D'],you can have it,,,,,0,,,
