Corpus,File,Name,Verb,Age,Sent,Syntactic Object,Event or Object,Syntactic Object,Event or Object,Convergence,Comments,Comments,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],yeah Mommy what dat that got on,,,,,0,?,,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],what dat that got on,,,,,0,?,,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],what dat that got on picture,,,,,0,,,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],what dat that got in,,,,,0,,,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],what dat that got de the mouth bite dat that,,,,,0,,,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],what dat that got on,,,,,0,?,,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],what dat that got on,,,,,0,?,,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],what dat that got on for,,,,,0,?,,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],what dat that got on go round for,,,,,0,?,,
Brown,adam08.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M17D'],I doughnut get you,you,pronoun,you,pronoun,pronoun,,?,
Brown,adam08.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M17D'],doughnut get you,you,pronoun,you,pronoun,pronoun,,?,
Brown,adam08.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M17D'],doughnut get you,you,pronoun,you,pronoun,pronoun,,?,
Brown,adam08.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M17D'],dere there doughnut get you,you,pronoun,you,pronoun,pronoun,,?,
Brown,adam08.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M17D'],I doughnut get you,you,pronoun,you,pronoun,pronoun,,?,
Brown,adam08.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M17D'],I'm getting xxx,,,xxx,,0,,?,
Brown,adam08.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M17D'],I wan  doggie get it,,,,,0,,object = doggie?,
Brown,adam08.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M17D'],almost fell get de the ball,ball,object,ball,object,object,,,
Brown,adam08.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M17D'],almost fell getting getting dollars,dollar,object,dollars,object,object,,,
Brown,adam08.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M17D'],what de the getting ears,ear,object,ears,object,object,,,
Brown,adam08.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M17D'],what dat that got a nose,nose,object,a nose,object,object,,,
Brown,adam08.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M17D'],go get pencil,pencil,object,pencil,object,object,,,
Brown,adam08.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M17D'],I get puzzle get you,puzzle,object,puzzle,object,object,,,
Brown,adam09.xml,['Adam'],get|gets|got|gotten|getting,['P2Y7M1D'],don't get it book,book,object,book,object,object,?,?,
Brown,adam09.xml,['Adam'],get|gets|got|gotten|getting,['P2Y7M1D'],man got a moustache,moustache,object,moustache,object,object,,,
Brown,adam09.xml,['Adam'],get|gets|got|gotten|getting,['P2Y7M1D'],Adam got a I got a pant on,pant,object,pant,object,object,?,,
Brown,adam09.xml,['Adam'],get|gets|got|gotten|getting,['P2Y7M1D'],Daddy get you,you,pronoun,you,pronoun,pronoun,,,
Brown,adam09.xml,['Adam'],get|gets|got|gotten|getting,['P2Y7M1D'],wan  get down,,,down,,0,?,,
Brown,adam09.xml,['Adam'],get|gets|got|gotten|getting,['P2Y7M1D'],what de the cow got on it,,,,,0,?,,
Brown,adam09.xml,['Adam'],get|gets|got|gotten|getting,['P2Y7M1D'],what a get back,,,,,0,?,,
Brown,adam10.xml,['Adam'],get|gets|got|gotten|getting,['P2Y7M14D'],xxx get it my boots,,,,,0,,object = my boots?,
Brown,adam10.xml,['Adam'],get|gets|got|gotten|getting,['P2Y7M14D'],cowboy what else Santa got a boot on,boot,object, boot,object,object,,,
Brown,adam10.xml,['Adam'],get|gets|got|gotten|getting,['P2Y7M14D'],see I got drop a boot Mommy,boot,object,boot,object,object,,,
Brown,adam10.xml,['Adam'],get|gets|got|gotten|getting,['P2Y7M14D'],I go get hat,hat,object,hat,object,object,,,
Brown,adam10.xml,['Adam'],get|gets|got|gotten|getting,['P2Y7M14D'],doggie getting meat,meat,object,meat,object,object,,,
Brown,adam10.xml,['Adam'],get|gets|got|gotten|getting,['P2Y7M14D'],okay cowboy I go get saddle bridle,"saddle, bridle",object,saddle/bridle,object,object,?,,
Brown,adam10.xml,['Adam'],get|gets|got|gotten|getting,['P2Y7M14D'],going get supper,supper,object,supper,object,object,,,
Brown,adam10.xml,['Adam'],get|gets|got|gotten|getting,['P2Y7M14D'],I get you,you,pronoun,you,pronoun,pronoun,,,
Brown,adam10.xml,['Adam'],get|gets|got|gotten|getting,['P2Y7M14D'],yeah get out,,,,,0,?,,
Brown,adam11.xml,['Adam'],get|gets|got|gotten|getting,['P2Y8M1D'],got in get in hat,,,hat,object,!!!,?,,
Brown,adam11.xml,['Adam'],get|gets|got|gotten|getting,['P2Y8M1D'],le me le me get down with the boots on,down ,event,down ,event,event,?,,
Brown,adam11.xml,['Adam'],get|gets|got|gotten|getting,['P2Y8M1D'],I get get rocket,rocket,object,rocket,object,object,,,
Brown,adam11.xml,['Adam'],get|gets|got|gotten|getting,['P2Y8M1D'],watch get it,,,,,0,,,
Brown,adam11.xml,['Adam'],get|gets|got|gotten|getting,['P2Y8M1D'],xxx I got it,,,,,0,,,
Brown,adam11.xml,['Adam'],get|gets|got|gotten|getting,['P2Y8M1D'],what happen me get up xxx,,,,,0,?,,
Brown,adam11.xml,['Adam'],get|gets|got|gotten|getting,['P2Y8M1D'],Daddy get it,,,,,0,,,
Brown,adam11.xml,['Adam'],get|gets|got|gotten|getting,['P2Y8M1D'],Daddy get it,,,,,0,,,
Brown,adam11.xml,['Adam'],get|gets|got|gotten|getting,['P2Y8M1D'],Daddy get it,,,,,0,,,
Brown,adam11.xml,['Adam'],get|gets|got|gotten|getting,['P2Y8M1D'],dat that no xxx get out way,,,,,0,?,,
Brown,adam11.xml,['Adam'],get|gets|got|gotten|getting,['P2Y8M1D'],I said get out de the way,,,,,0,?,,
Brown,adam11.xml,['Adam'],get|gets|got|gotten|getting,['P2Y8M1D'],you got it,,,,,0,,,
Brown,adam11.xml,['Adam'],get|gets|got|gotten|getting,['P2Y8M1D'],get almost got it,,,,,0,,,
Brown,adam12.xml,['Adam'],get|gets|got|gotten|getting,['P2Y8M16D'],get get tire broken,tire,object,tire,object,object,,?,
Brown,adam12.xml,['Adam'],get|gets|got|gotten|getting,['P2Y8M16D'],don't don't get in car,,,car,object,!!!,?,,
Brown,adam12.xml,['Adam'],get|gets|got|gotten|getting,['P2Y8M16D'],show something get hurts,hurt,event,hurt,event,event,?,,
Brown,adam12.xml,['Adam'],get|gets|got|gotten|getting,['P2Y8M16D'],I get more le me have more coffee,coffee,object,coffee,object,object,?,,
Brown,adam12.xml,['Adam'],get|gets|got|gotten|getting,['P2Y8M16D'],I get it,,,,,0,,,
Brown,adam13.xml,['Adam'],get|gets|got|gotten|getting,['P2Y9M4D'],get got got stuck,stuck,event,stuck,event,event,?,,
Brown,adam13.xml,['Adam'],get|gets|got|gotten|getting,['P2Y9M4D'],we get in,,,,,0,?,,
Brown,adam13.xml,['Adam'],get|gets|got|gotten|getting,['P2Y9M4D'],dat that get off,,,,,0,?,,
Brown,adam14.xml,['Adam'],get|gets|got|gotten|getting,['P2Y9M18D'],I'm get up chuch,,,,,0,?,?,
Brown,adam14.xml,['Adam'],get|gets|got|gotten|getting,['P2Y9M18D'],want me get out,,,,,0,?,,
Brown,adam14.xml,['Adam'],get|gets|got|gotten|getting,['P2Y9M18D'],you get out,,,,,0,?,,
Brown,adam14.xml,['Adam'],get|gets|got|gotten|getting,['P2Y9M18D'],dirt getting out,,,,,0,?,,
Brown,adam15.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M2D'],we waiting get on train,,,train,object,!!!,?,?,
Brown,adam15.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M2D'],I get some,some,pronoun,some,pronoun,pronoun,,,
Brown,adam15.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M2D'],let me get dat that,that,pronoun,that,pronoun,pronoun,?,,
Brown,adam15.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M2D'],wait get on,,,,,0,?,,
Brown,adam15.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M2D'],I'm trying get down so dere there,,,,,0,?,,
Brown,adam16.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M16D'],le me get a magic words,word,object,magic words,object,object,,,
Brown,adam16.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M16D'],wan me get it,,,,,0,,,
Brown,adam17.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M30D'],going get some pretty water,water,object,pretty water,object,object,,?,
Brown,adam17.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M30D'],why not me get hit,hit,event,hit,event,event,,,
Brown,adam17.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M30D'],I like get hurt,hurt,event,hurt,event,event,,,
Brown,adam17.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M30D'],my spoon got stuck,stuck,event,stuck,event,event,,,
Brown,adam17.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M30D'],going get up my blanket,blanket,object,blanket,object,object,?,,
Brown,adam17.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M30D'],why me got chocolate hm,chocolate,object,chocolate,object,object,,,
Brown,adam17.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M30D'],why me got some chocolate,chocolate,object,chocolate,object,object,,,
Brown,adam17.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M30D'],going get pie,pie,object,pie,object,object,,,
Brown,adam17.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M30D'],going get pie for Cromer,pie,object,pie,object,object,,,
Brown,adam17.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M30D'],I get give you pie,pie,object,pie,object,object,?,,
Brown,adam17.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M30D'],take me for a ride in it airplane le me get in,,,,,0,?,,
Brown,adam17.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M30D'],d you want me get in,,,,,0,?,,
Brown,adam17.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M30D'],come get out xxx,,,,,0,?,,
Brown,adam17.xml,['Adam'],get|gets|got|gotten|getting,['P2Y10M30D'],xxx dey they get out,,,,,0,?,,
Brown,adam18.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M13D'],I got something show you,something,pronoun,something,pronoun,pronoun,,?,
Brown,adam18.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M13D'],ups_a_daisy got my finger,finger,object,finger,object,object,,,
Brown,adam18.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M13D'],come get it,,,,,0,,,
Brown,adam18.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M13D'],come get it honey,,,,,0,,,
Brown,adam18.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M13D'],d you wan me get out,,,,,0,?,,
Brown,adam18.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M13D'],hey get down,,,,,0,?,,
Brown,adam19.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M28D'],why he got why vi on his back,,,,,0,?,?,
Brown,adam19.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M28D'],I go get fishing tomorrow,fishing,event,fishing,event,event,,,
Brown,adam19.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M28D'],I going get my bail,bail,object,bail,object,object,,,
Brown,adam19.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M28D'],I got some more juice,juice,object,juice,object,object,,,
Brown,adam19.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M28D'],go get him,him,pronoun,him,pronoun,pronoun,,,
Brown,adam19.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M28D'],I got something show you,something,pronoun,something,pronoun,pronoun,,,
Brown,adam19.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M28D'],I got something,something,pronoun,something,pronoun,pronoun,,,
Brown,adam19.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M28D'],le me go downstairs go get it,,,,,0,,,
Brown,adam19.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M28D'],I go get it with dat that stick,,,,,0,,,
Brown,adam19.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M28D'],what he got on his head,,,,,0,?,,
Brown,adam19.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M28D'],d you want to get in dat that,,,,,0,?,,
Brown,adam19.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M28D'],go get it,,,,,0,,,
Brown,adam19.xml,['Adam'],get|gets|got|gotten|getting,['P2Y11M28D'],le me go get it,,,,,0,,,
Brown,adam20.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M11D'],I got fingernail broke,fingernail,object,fingernail,object,object,,?,
